frame,joint,x,y,bbox
180,ltoe_smpl,351.03,332.54,"(206.0,237.9)-(348.4,500.1)"
182,reyecoco,172.17,338.49,"(174.4,223.7)-(418.4,506.9)"
183,learcoco,163.85,342.44,"(165.5,223.3)-(418.7,506.2)"
183,nosecoco,163.61,348.35,"(165.5,223.3)-(418.7,506.2)"
183,reyecoco,158.97,340.72,"(165.5,223.3)-(418.7,506.2)"
184,htop_mpi_inf_3dhp,163.56,347.7,"(168.8,226.8)-(410.2,505.8)"
184,learcoco,161.79,342.51,"(168.8,226.8)-(410.2,505.8)"
184,nosecoco,160.8,349.05,"(168.8,226.8)-(410.2,505.8)"
184,rearcoco,166.12,351.93,"(168.8,226.8)-(410.2,505.8)"
184,reyecoco,154.18,340.25,"(168.8,226.8)-(410.2,505.8)"
185,reyecoco,152.18,342.75,"(158.9,231.6)-(382.6,508.0)"
186,nosecoco,181.9,351.76,"(182.9,232.7)-(343.4,505.8)"
186,reyecoco,166.56,343.21,"(182.9,232.7)-(343.4,505.8)"
195,ltoe_smpl,124.91,352.62,"(136.4,284.1)-(335.5,503.2)"
199,htop_mpi_inf_3dhp,193.28,353.41,"(194.6,299.2)-(383.8,497.6)"
199,learcoco,192.34,348.37,"(194.6,299.2)-(383.8,497.6)"
199,nosecoco,191.77,354.88,"(194.6,299.2)-(383.8,497.6)"
199,rearcoco,194.02,355.46,"(194.6,299.2)-(383.8,497.6)"
199,reyecoco,188.47,345.69,"(194.6,299.2)-(383.8,497.6)"
200,reyecoco,173.48,347.48,"(178.0,300.4)-(413.7,497.1)"
201,reyecoco,161.67,346.27,"(164.1,301.0)-(422.9,501.5)"
202,lwri_smpl,264.72,302.57,"(149.2,310.6)-(408.1,501.8)"
202,lhan_smpl,274.3,300.59,"(149.2,310.6)-(408.1,501.8)"
203,lwri_smpl,259.87,302.52,"(143.1,308.4)-(381.9,504.6)"
203,lhan_smpl,268.51,300.58,"(143.1,308.4)-(381.9,504.6)"
204,reyecoco,149.84,340.2,"(157.5,295.1)-(344.8,510.2)"
213,lank_smpl,107.79,355.31,"(110.6,277.2)-(336.1,499.5)"
213,ltoe_smpl,92.77,352.37,"(110.6,277.2)-(336.1,499.5)"
218,lhan_smpl,218.7,265.33,"(169.9,266.6)-(378.3,493.2)"
220,reyecoco,142.17,343.77,"(145.6,262.0)-(408.4,493.8)"
221,learcoco,144.92,340.81,"(146.3,252.9)-(396.7,499.4)"
221,nosecoco,143.93,347.91,"(146.3,252.9)-(396.7,499.4)"
221,reyecoco,136.76,341.05,"(146.3,252.9)-(396.7,499.4)"
222,htop_mpi_inf_3dhp,144.15,351.67,"(154.2,248.6)-(369.1,505.2)"
222,learcoco,141.9,346.65,"(154.2,248.6)-(369.1,505.2)"
222,leyecoco,147.12,338.64,"(154.2,248.6)-(369.1,505.2)"
222,nosecoco,141.03,352.64,"(154.2,248.6)-(369.1,505.2)"
222,rearcoco,145.41,353.72,"(154.2,248.6)-(369.1,505.2)"
222,reyecoco,131.71,342.46,"(154.2,248.6)-(369.1,505.2)"
233,ltoe_smpl,76.61,341.82,"(89.4,303.4)-(285.7,492.8)"
234,ltoe_smpl,102.27,338.11,"(104.0,302.8)-(272.0,492.3)"
235,head_smpl,226.31,307.92,"(132.3,308.2)-(270.3,489.9)"
235,lsho_smpl,236.24,308.18,"(132.3,308.2)-(270.3,489.9)"
